game,date,answer,tries,solved,path,true_probability,true_rank
1853,2026-07-16,butte,3,True,soare guilt butte,0.0003713828183442348,465
1854,2026-07-17,legal,3,True,soare cleat legal,0.00248457213113531,96
1855,2026-07-18,booth,3,True,soare mulct booth,0.002435462546621211,104
1856,2026-07-19,churn,2,True,soare churn,0.0021364643996132247,147
1857,2026-07-20,diver,3,True,soare drier diver,0.002327856146331035,122
1858,2026-07-21,shill,4,True,soare think ships shill,5.968674389575759e-06,5705
1859,2026-07-22,lorry,2,True,soare lorry,0.0019856348690185485,169
1860,2026-07-23,orbit,3,True,soare tumor orbit,0.0017972988275323516,204
1861,2026-07-24,putty,3,True,soare milty putty,0.0018194516833176047,201
1862,2026-07-25,aloha,6,True,soare bloat along aloud aloof aloha,1.683156780930914e-05,3345
1863,2026-07-26,grape,2,True,soare grape,0.002727901555664395,77
1864,2026-07-27,poser,2,True,soare poser,0.0019008190949249698,186
1865,2026-07-28,sonar,2,True,soare sonar,0.0025437814780065074,93
1866,2026-07-29,valve,3,True,soare guild valve,0.0018663333525640762,190
1867,2026-07-30,flume,3,True,soare guilt flume,3.689318443227307e-05,1921
1868,2026-07-31,purse,2,True,soare purse,0.0034273146923285533,31
1869,2026-08-01,slush,3,True,soare think slush,0.0018456496483497656,195
1870,2026-08-02,penal,3,True,soare cleat penal,0.002553661395921596,93
1871,2026-08-03,reply,3,True,soare prier reply,0.002581679931107261,96
1872,2026-08-04,motif,3,True,soare mulct motif,0.002030510545775762,164
1873,2026-08-05,posit,2,True,soare posit,0.003318162441247799,37
1874,2026-08-06,gripe,4,True,soare truce pride gripe,4.1038106659091846e-05,1655
1875,2026-08-07,feign,4,True,soare denet being feign,4.341931865048295e-05,1634
1876,2026-08-08,privy,3,True,soare clipt privy,0.0025438470251267424,99
1877,2026-08-09,clunk,4,True,soare milty lunch clunk,3.471671543969425e-05,2198
1878,2026-08-10,snipe,3,True,soare slide snipe,0.0025239012810902594,98
1879,2026-08-11,fence,3,True,soare guilt fence,0.002997590706389633,58
1880,2026-08-12,wimpy,3,True,soare milty wimpy,0.0007858637368067568,388
